event_time,prosthesis_id,username,signal_rms,signal_noise,gesture_predicted,response_time_ms,battery_level
2026-04-10T09:00:00Z,BP-RU-001,prothetic1,0.82,0.09,open_hand,74,96
2026-04-10T09:05:00Z,BP-RU-001,prothetic1,0.91,0.07,close_hand,68,95
2026-04-10T09:10:00Z,BP-RU-001,prothetic1,0.77,0.11,pinch,83,94
2026-04-10T09:15:00Z,BP-RU-001,prothetic1,0.88,0.08,wrist_rotate,79,93
2026-04-10T09:20:00Z,BP-RU-001,prothetic1,0.80,0.10,rest,65,92
2026-04-10T10:00:00Z,BP-RU-002,prothetic2,0.79,0.12,open_hand,86,89
2026-04-10T10:05:00Z,BP-RU-002,prothetic2,0.84,0.10,close_hand,90,88
2026-04-10T10:10:00Z,BP-RU-002,prothetic2,0.76,0.13,pinch,94,87
2026-04-10T10:15:00Z,BP-RU-002,prothetic2,0.81,0.09,wrist_rotate,88,86
2026-04-10T10:20:00Z,BP-RU-002,prothetic2,0.74,0.14,rest,92,85
2026-04-10T11:00:00Z,BP-RU-003,prothetic3,0.71,0.16,open_hand,98,78
2026-04-10T11:05:00Z,BP-RU-003,prothetic3,0.75,0.15,close_hand,101,77
2026-04-10T11:10:00Z,BP-RU-003,prothetic3,0.69,0.18,pinch,105,76
2026-04-10T11:15:00Z,BP-RU-003,prothetic3,0.73,0.14,wrist_rotate,99,75
2026-04-10T11:20:00Z,BP-RU-003,prothetic3,0.67,0.19,rest,97,74
